index	language	glottocode	iso	word_forms	colexification_type	source_domain	target_domain	source_concept_ID	target_concept_ID	source_concept_definition	target_concept_definition	source_translation_in_English	target_translation_in_English	macro_area	language_family	latitude	longitude
0	Northern Tosk Albanian	tosk1239	als	bimë	full	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	41	20
1	Portuguese	port1283	por	vegetal	full	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	39.91	-8.1
2	French	stan1290	fra	végétal	full	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	48	2
3	Farsic-Caucasian Tat	fars1254	fas	گیا ; گیاه	partial	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	37.24538474190638	50.26938429326292
4	Portuguese	port1283	por	vegetal ; vegetariana	partial	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	39.91	-8.1
5	Portuguese	port1283	por	vegetal ; vida vegetal	partial	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Indo-European	39.91	-8.1
6	Thai	thai1261	tha	พืช ; พืชผัก	partial	plant	food	n00017222	n07707451	a living organism lacking the power of locomotion	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	vegetation	vegetable	Eurasia	Tai-Kadai	14.192	100.671
7	Portuguese	port1283	por	vegetal	full	plant	food	n00017222	n07708798	a living organism lacking the power of locomotion	the seedpod of a leguminous plant (such as peas or beans or lentils)	vegetation	legume	Eurasia	Indo-European	39.91	-8.1
8	Portuguese	port1283	por	vegetal ; vida vegetal	partial	plant	food	n00017222	n07708798	a living organism lacking the power of locomotion	the seedpod of a leguminous plant (such as peas or beans or lentils)	vegetation	legume	Eurasia	Indo-European	39.91	-8.1
9	Swedish	swed1254	swe	växt ; baljväxt	partial	plant	food	n00017222	n07708798	a living organism lacking the power of locomotion	the seedpod of a leguminous plant (such as peas or beans or lentils)	vegetation	legume	Eurasia	Indo-European	59.800634	17.389526
10	English	stan1293	eng	plant	full	plant	food	n00017222	n07709333	a living organism lacking the power of locomotion	any of various leafy plants or their leaves and stems eaten as vegetables	vegetation	wild	Africa;Eurasia;South America	Indo-European	53	-1
11	Portuguese	port1283	por	vegetal	full	plant	food	n00017222	n07709333	a living organism lacking the power of locomotion	any of various leafy plants or their leaves and stems eaten as vegetables	vegetation	wild	Eurasia	Indo-European	39.91	-8.1
12	English	stan1293	eng	plant ; plant life	partial	plant	food	n00017222	n07709333	a living organism lacking the power of locomotion	any of various leafy plants or their leaves and stems eaten as vegetables	vegetation	wild	Africa;Eurasia;South America	Indo-European	53	-1
13	Portuguese	port1283	por	vegetal ; vida vegetal	partial	plant	food	n00017222	n07709333	a living organism lacking the power of locomotion	any of various leafy plants or their leaves and stems eaten as vegetables	vegetation	wild	Eurasia	Indo-European	39.91	-8.1
